Name	Q-E	ZN-E	PH-E	DBO-E	DQO-E	SS-E	SSV-E	SED-E	COND-E	PH-P	DBO-P	SS-P	SSV-P	SED-P	COND-P	PH-D	DBO-D	DQO-D	SS-D	SSV-D	SED-D	COND-D	PH-S	DBO-S	DQO-S	SS-S	SSV-S	SED-S	COND-S	RD-DBO-P	RD-SS-P	RD-SED-P	RD-DBO-S	RD-DQO-S	RD-DBO-G	RD-DQO-G	RD-SS-G	RD-SSED-G
D-3/5/90	39024	1.20	7.9	268	467	224	66.1	6.5	1409	7.9	328	312	62.8	9.5	1376	7.9	152	338	88	77.3	0.2	1336	7.7	29	148	49	80.3	0.10	1334	53.7	71.8	98.4	80.9	56.2	89.2	68.3	78.1	98.5
D-4/5/90	38990	1.40	7.8	189	357	172	67.4	4.0	1160	7.7	213	212	62.3	5.5	1232	7.7	123	255	80	80.0	0.3	1237	7.6	30	122	42	81.0	0.05	1304	42.3	62.3	94.5	75.6	52.2	84.1	65.8	75.6	98.8
D-6/5/90	37710	3.00	7.5	312	388	204	61.8	4.0	1026	7.5	211	214	64.5	5.0	1020	7.5	111	222	86	76.7	0.2	1016	7.4	42	154	69	83.1	0.10	1092	47.4	59.8	96.0	62.2	30.6	86.5	60.3	66.2	97.5
D-7/5/90	25957	0.60	8.1	404	455	448	38.4	5.0	1229	7.8	491	692	38.7	11.5	1279	7.8	285	?	110	70.9	0.4	1156	7.8	20	83	25	90.7	0.05	1021	42.0	84.1	97.0	93.0	?	95.0	81.8	94.4	99.0
D-8/5/90	38623	1.50	8.1	243	299	180	54.4	2.5	1615	8.0	291	324	65.4	3.5	1630	7.9	166	265	96	60.4	0.2	1485	7.8	26	82	36	74.1	0.02	1345	43.0	70.4	94.3	84.3	69.1	89.3	72.6	80.0	99.2
D-9/5/90	41746	1.00	8.0	352	471	208	65.4	5.5	2150	7.9	386	216	64.8	5.5	2320	7.6	198	348	118	74.6	0.5	2290	7.5	24	91	32	84.4	0.00	2290	48.7	45.4	91.8	87.9	73.9	93.2	80.7	84.6	100
D-10/5/90	43291	0.80	7.7	215	447	164	61.0	5.5	1177	7.7	258	256	53.1	5.0	1207	7.9	141	285	86	69.8	0.2	1324	7.7	19	75	32	77.1	0.02	1390	45.3	66.4	96.0	86.5	73.7	91.2	83.2	80.5	99.6
D-11/5/90	41436	1.20	7.9	191	356	192	62.5	7.0	1434	7.9	226	288	55.6	10	1427	7.7	130	257	84	71.4	0.1	1467	7.6	28	103	34	76.5	0.00	1469	42.5	70.8	99.0	78.5	59.9	85.3	71.1	82.3	100
D-13/5/90	39402	1.20	7.9	283	274	162	59.3	3.0	937	7.9	190	178	58.4	2.8	944	7.8	117	212	78	76.9	0.1	970	7.7	28	74	25	88.0	0.00	1060	38.4	56.2	98.2	76.1	65.1	90.1	73.0	84.6	100
D-14/5/90	39383	0.60	8.0	216	529	248	61.3	6.3	1179	8.0	429	220	65.5	5.0	1294	7.8	140	337	138	63.8	1.5	1155	7.7	23	94	22	84.1	0.00	1107	67.4	37.3	70.0	83.6	72.1	89.4	82.2	91.1	100
D-15/5/90	37106	0.70	7.8	163	468	202	57.4	4.5	1525	8.0	319	292	58.9	7.0	1587	7.8	146	353	230	55.7	0.2	1328	7.7	14	100	19	86.8	0.00	1309	54.2	21.2	97.1	90.4	71.7	91.4	78.6	90.6	100
D-16/5/90	36591	1.20	7.8	?	499	248	56.5	6.5	1213	7.8	?	304	57.9	7.2	1264	7.8	?	334	98	77.6	0.2	1420	7.6	?	77	20	75.0	0.00	1395	?	67.8	97.2	?	76.9	?	84.6	91.9	100
D-17/5/90	33711	2.50	8.0	345	457	288	59.7	7.5	1272	7.9	?	348	63.2	9.0	1336	7.9	?	372	146	72.6	2.0	1369	7.8	19	88	19	78.9	0.00	1437	?	58.0	77.8	?	76.3	94.5	80.7	93.4	100
D-18/5/90	35081	0.80	7.7	431	532	210	65.7	5.0	1535	7.6	409	224	58.9	6.0	1561	7.8	210	360	98	65.3	0.2	1472	7.7	13	132	13	50.0	0.00	1516	48.7	56.3	96.7	93.8	63.3	97.0	75.2	93.8	100
D-20/5/90	32372	1.50	7.8	174	404	192	63.5	3.5	1056	7.7	182	210	61.0	4.5	1064	7.7	140	243	104	76.9	0.4	1078	7.7	13	55	18	83.3	0.00	1165	23.1	50.5	91.1	90.7	77.4	92.5	86.4	90.6	100
D-21/5/90	37283	2.00	7.7	327	376	184	57.6	4.0	1226	7.7	287	236	45.8	3.5	1223	7.8	102	255	84	73.8	0.2	1199	7.8	15	47	13	69.2	0.00	1136	64.5	64.4	94.3	85.3	81.6	95.4	87.5	92.9	100
D-22/5/90	42202	1.00	7.6	184	238	316	30.4	3.0	1079	7.7	163	344	29.1	4.0	1113	7.6	122	214	92	63.0	0.2	1139	7.6	27	95	39	59.0	0.00	1176	25.2	73.3	95.0	77.9	55.6	85.3	60.1	87.7	100
D-23/5/90	50942	3.00	7.8	159	234	292	32.9	3.0	1140	7.8	182	344	32.6	4.0	1125	7.9	111	218	100	52.0	0.3	1231	7.8	12	36	14	77.1	0.00	1276	39.0	70.9	93.8	89.2	83.5	92.5	84.6	95.2	100
D-24/5/90	44040	1.00	7.9	275	330	180	55.6	3.0	1376	7.9	190	200	60.0	2.5	1392	7.9	118	260	76	76.3	0.3	1435	7.7	25	109	24	75.0	0.00	1399	37.9	62.0	90.0	78.8	58.1	90.9	67.0	86.7	100
D-25/5/90	43117	1.20	8.4	134	302	208	57.7	3.3	1160	8.0	159	276	60.9	3.5	1201	8.0	116	233	80	77.5	0.2	1264	7.9	16	66	20	80.0	0.00	1333	27.0	71.0	94.3	86.2	71.7	88.1	78.1	90.4	100
D-27/5/90	48333	0.70	7.6	132	188	172	46.5	2.5	940	7.7	210	192	46.9	2.0	924	7.7	102	176	76	78.9	0.1	1001	7.7	17	78	21	87.6	0.00	1107	51.4	60.4	95.0	83.3	55.7	87.1	58.5	87.8	100
D-28/5/90	46540	1.20	7.8	132	297	176	45.5	1.5	1140	8.0	133	172	44.2	1.3	1072	7.9	98	246	84	61.9	0.3	1111	7.6	24	63	16	68.8	0.00	1014	26.3	51.2	80.8	75.5	74.4	81.8	78.8	90.9	100
D-29/5/90	46057	1.00	8.1	133	288	162	56.8	2.3	1050	8.1	133	152	63.2	2.5	1116	8.0	97	220	70	77.1	0.2	1142	7.9	32	128	40	82.5	0.05	1187	27.1	53.9	94.0	67.0	41.8	75.9	55.6	75.3	97.8
D-30/5/90	45018	2.00	7.9	224	488	456	48.2	11	1147	7.9	153	252	49.2	4.0	1224	8.0	110	248	92	67.4	0.4	1238	8.0	15	36	17	82.4	0.00	1217	28.1	63.5	91.3	86.4	85.5	93.3	92.6	96.3	100
D-1/4/90	40552	2.00	7.9	200	395	178	71.9	3.5	1038	7.8	190	156	71.8	3.5	1063	7.7	127	281	102	72.5	0.7	1023	7.6	17	75	19	89.5	0.02	1148	33.2	34.6	80.0	86.6	73.3	91.5	81.0	89.3	99.4
D-2/4/90	53210	5.00	7.8	87	241	236	38.1	4.0	1179	8.0	97	248	33.9	3.5	1231	8.0	78	190	70	57.1	0.0	902	7.7	10	79	16	78.1	0.02	899	19.6	71.8	100	87.2	58.4	88.5	67.2	93.2	99.5
D-3/4/90	53530	1.50	8.1	132	336	330	37.0	6.0	1234	8.0	161	264	37.9	5.5	1327	7.9	126	316	80	75.0	0.7	1257	7.7	13	68	13	69.2	0.02	1229	21.7	69.7	88.2	89.7	78.5	90.2	79.8	96.1	99.7
D-4/4/90	46659	2.00	7.7	175	321	176	58.0	3.5	1335	7.8	198	192	58.3	4.0	1418	7.7	141	281	76	78.9	0.3	1316	7.5	12	67	11	100	0.00	1308	28.8	60.4	92.5	91.5	76.2	93.1	79.1	93.8	100
D-5/4/90	45772	2.00	7.9	162	348	156	64.1	3.1	1340	7.9	228	252	65.1	5.9	1398	7.9	135	329	110	78.2	0.7	1377	7.7	17	127	14	92.9	0.00	1423	40.8	56.3	88.1	87.4	61.4	89.5	63.5	91.0	100
D-6/4/90	52933	1.75	7.9	135	317	180	53.5	3.5	1362	7.9	181	268	59.7	4.6	1417	7.6	114	285	104	71.2	0.5	1459	7.8	14	91	22	86.4	0.00	1555	37.0	61.2	89.1	87.7	68.1	89.6	71.3	87.8	100
D-8/4/90	36510	1.50	7.9	91	325	122	77.0	3.5	1026	7.9	109	124	93.5	3.7	1063	7.8	81	227	64	96.9	0.4	983	7.7	15	74	11	100	0.00	1039	25.7	48.4	89.2	81.5	67.4	83.5	77.2	91.0	100
D-9/4/90	34299	3.00	7.8	210	725	350	41.7	5.0	1265	7.8	238	428	42.1	7.5	1262	7.8	136	306	106	47.2	0.4	1287	7.6	21	94	18	66.7	0.02	1309	42.9	75.2	94.7	84.6	69.3	90.0	87.0	94.9	99.6
D-10/4/90	41073	0.80	8.1	166	422	184	63.0	3.0	1450	8.0	118	280	65.7	3.5	1429	8.1	119	323	114	70.2	0.4	1419	7.8	26	81	22	76.4	0.02	1357	?	59.3	88.6	78.2	74.9	84.3	80.8	88.0	99.3
D-11/4/90	43536	2.50	7.8	267	342	202	58.4	2.0	1327	7.7	254	172	69.8	2.0	1306	7.8	130	349	120	66.7	0.4	1450	7.7	12	77	16	87.5	0.00	1454	48.8	30.2	80.0	90.8	77.9	95.5	77.5	92.1	?
D-13/4/90	34667	6.00	7.2	165	315	170	64.7	?	1125	7.3	219	180	67.8	?	1151	7.3	121	235	86	81.4	?	1204	7.4	11	53	19	73.7	?	1306	44.7	52.2	?	90.9	77.4	93.3	83.2	88.8	?
D-16/4/90	29624	1.40	7.5	184	219	148	62.2	3.0	1530	7.5	189	146	60.3	2.0	1553	7.5	92	192	78	76.9	0.3	1560	7.5	18	37	22	72.7	0.02	1100	51.3	46.6	85.0	80.4	80.7	90.2	83.1	85.1	99.3
D-17/4/90	34069	1.20	7.5	89	298	116	68.9	2.0	1119	7.7	89	120	70.0	2.3	1103	7.7	79	250	74	81.0	0.2	1188	7.6	16	42	22	83.6	0.03	1149	11.2	38.3	91.1	79.7	83.2	82.0	85.9	81.0	98.8
D-18/4/90	37782	1.20	8.1	155	382	174	66.7	7.0	1205	7.9	295	212	73.6	5.5	1319	7.8	147	312	90	75.6	0.3	1246	7.6	18	87	24	76.7	0.05	1244	50.2	57.5	94.5	87.8	72.1	88.4	77.2	86.2	99.3
D-19/4/90	42109	0.70	7.8	159	350	150	69.3	3.0	1304	7.8	192	160	75.0	2.5	1206	7.7	166	312	82	75.6	0.2	1276	7.7	41	152	41	79.3	0.02	1341	13.5	48.8	94.0	75.3	51.3	74.2	56.6	72.7	99.3
D-20/4/90	40871	0.70	7.7	193	298	120	60.0	3.0	1068	7.8	160	200	38.0	2.5	1167	7.8	135	222	?	?	0.3	1211	7.8	16	69	?	?	0.02	1199	15.6	?	88.0	88.1	68.9	91.7	76.8	?	99.3
D-22/4/90	36088	15	7.5	75	133	142	39.4	2.0	860	7.6	127	172	46.5	1.8	838	7.6	73	124	62	67.7	0.3	871	7.3	9	32	12	80.0	0.00	889	42.5	64.0	86.1	87.7	74.2	88.0	75.9	91.5	100
D-23/4/90	47255	0.60	7.7	181	264	124	61.3	2.6	1087	7.8	148	150	52.0	3.0	1047	7.8	122	232	68	61.8	0.3	1103	7.7	19	72	28	64.3	0.10	1008	17.6	54.7	91.7	84.4	69.0	89.5	72.7	77.4	96.2
D-24/4/90	55300	1.50	7.9	254	356	206	56.3	4.0	1300	7.9	207	222	53.2	3.5	1347	7.9	91	184	66	69.7	0.3	1188	7.6	18	100	20	76.0	0.02	1202	56.0	70.3	91.4	80.2	45.7	92.9	71.9	90.3	99.5
D-25/4/90	37646	1.00	7.8	355	556	184	50.0	3.3	1278	7.8	308	194	51.5	3.0	1376	7.8	122	216	78	71.8	0.2	1395	7.7	42	124	48	74.2	0.05	1310	60.4	59.8	93.3	65.6	42.6	88.2	77.7	73.9	98.5
D-26/4/90	34528	1.00	7.9	262	444	324	48.1	6.5	1319	7.9	279	380	43.2	6.0	1362	7.9	161	347	90	77.8	0.4	1476	7.6	31	174	67	73.6	0.50	1398	42.3	76.3	94.2	80.7	49.9	88.2	60.8	79.3	92.3
D-27/4/90	31417	3.00	7.8	237	549	236	71.2	4.0	1397	7.9	286	280	67.1	8.0	1368	7.8	176	416	112	69.6	0.4	1469	7.7	39	287	84	81.6	0.20	1480	38.5	60.0	95.6	77.8	31.0	83.5	48	64.4	95.0
D-29/4/90	27333	2.00	7.6	238	348	174	64.4	3.5	1110	7.6	372	124	75.8	2.5	1105	7.4	172	364	104	78.8	1.0	1171	7.4	44	210	73	81.1	1.50	1256	53.8	16.1	60.0	74.4	42.3	81.5	39.7	58.0	57.1
D-1/7/90	30201	1.00	7.3	137	398	188	57.4	4.0	1179	7.3	164	204	58.8	4.3	1164	7.3	81	204	62	64.5	0.1	1165	7.4	9	66	10	70.0	0.00	1264	50.6	69.6	97.6	88.9	67.6	93.4	83.4	94.7	100
D-2/7/90	39445	0.75	8.1	187	488	216	55.6	6.5	2440	8.0	191	252	49.2	5.0	2340	7.9	130	304	66	72.7	0.2	2230	8.0	28	80	21	70.5	0.00	2190	31.9	73.8	96.0	78.5	73.7	85.0	83.6	90.3	100
D-3/7/90	37252	3.50	7.6	131	436	476	27.7	4.5	1603	7.8	151	416	28.8	5.0	1479	7.8	114	269	78	56.4	0.1	1591	7.9	13	90	16	68.8	0.00	1625	24.5	81.3	98.0	88.6	66.5	90.1	79.4	96.6	100
D-4/7/90	37643	1.25	7.7	145	382	168	54.8	3.5	1814	7.9	180	184	56.5	3.0	1820	8.1	113	271	70	65.7	0.2	1893	8.1	15	88	15	73.3	0.00	1879	37.2	62.0	95.0	86.7	67.5	89.7	77.0	91.1	100
D-5/7/90	36389	0.90	7.7	156	391	156	53.8	3.5	1358	7.8	161	172	58.1	3.0	1412	7.9	116	285	66	72.7	0.3	1460	7.9	11	86	14	50.0	0.00	1425	28.0	61.6	91.7	90.5	69.8	92.9	78.0	91.0	100
D-6/7/90	33020	0.80	7.7	176	422	176	61.4	4.0	2200	7.7	176	196	59.2	3.5	2180	7.7	120	274	72	63.9	0.3	2230	7.8	14	82	16	68.8	0.00	2140	31.8	63.3	91.4	88.3	70.1	92.0	80.6	90.9	100
D-8/7/90	36095	4.50	7.5	112	341	256	46.9	4.2	2070	7.4	101	238	47.9	3.0	2430	7.5	95	251	82	75.6	0.2	1930	7.6	18	114	27	74.1	0.00	2700	5.9	65.5	93.3	81.1	54.6	83.9	66.6	89.5	100
D-9/7/90	39590	5.00	7.8	144	361	220	53.6	4.5	1790	7.8	112	236	54.2	3.3	1760	7.8	53	239	78	64.1	0.2	1710	7.6	14	74	20	70.0	0.00	1660	52.7	66.9	93.8	73.6	69.0	90.3	79.5	90.9	100
D-10/7/90	42859	12.5	7.8	161	326	268	44.8	4.5	1570	7.9	152	208	54.8	5.0	1640	7.9	76	173	74	64.9	0.2	1690	7.8	23	111	26	76.9	0.00	1720	50.0	64.4	97.0	69.7	35.8	85.7	66.0	90.3	100
D-11/7/90	36325	2.50	7.7	135	304	222	46.8	3.5	1087	7.7	135	250	55.2	3.5	1143	7.8	107	260	96	72.9	0.2	1162	7.9	14	96	18	68.9	0.00	1169	20.7	61.6	94.3	86.9	63.1	89.6	68.4	91.9	100
D-12/7/90	33522	2.50	7.7	189	416	248	58.1	5.5	1330	7.7	194	252	63.5	4.5	1931	7.8	114	304	104	71.2	0.2	1426	7.8	27	108	26	76.9	0.00	1416	41.2	58.7	95.6	76.3	64.5	85.7	74.0	89.5	100
D-13/7/90	33680	1.75	7.6	215	532	282	63.8	5.3	1444	7.6	253	296	61.5	5.0	1437	7.8	120	320	90	75.6	0.2	1418	7.8	17	92	15	75.3	0.00	1433	52.6	69.6	96.0	85.8	71.3	92.1	82.7	94.7	100
D-15/7/90	31293	1.00	7.7	150	337	182	?	3.0	1189	7.7	117	190	68.4	2.5	1199	7.7	108	256	62	?	0.5	1282	7.8	18	85	20	76.0	0.00	1378	7.7	67.4	80.0	83.3	66.8	88.0	74.8	89.0	100
D-16/7/90	36010	1.00	7.9	189	424	264	55.3	4.0	2270	7.8	190	318	54.7	5.5	2310	8.0	119	250	90	66.7	0.4	2130	8.0	16	68	21	78.1	0.00	1848	37.4	71.7	93.6	86.6	72.8	91.5	84.0	92.0	100
D-17/7/90	35445	2.50	7.9	182	388	272	43.4	3.5	1704	7.9	166	262	48.1	4.0	1731	7.9	110	274	82	51.2	0.2	1734	8.0	18	71	18	53.3	0.00	1788	33.7	68.7	96.3	83.6	74.1	90.1	81.7	93.4	100
D-18/7/90	32540	1.00	7.7	290	566	352	52.8	8.0	2540	7.7	314	358	54.2	8.0	2730	7.7	122	304	78	89.7	0.2	2750	7.9	18	116	15	93.3	0.00	2580	61.1	78.2	98.1	85.2	61.8	93.8	79.5	95.7	100
D-19/7/90	32929	1.20	7.8	246	641	376	56.4	6.0	1683	7.8	265	378	58.2	8.0	1724	7.9	132	338	170	63.5	1.7	1710	7.9	31	100	34	79.4	0.02	1742	50.2	55.0	79.4	76.5	70.4	87.4	84.4	91.0	99.7
D-20/7/90	32575	2.00	7.7	244	607	380	53.7	6.0	2160	7.8	242	436	54.1	8.0	2220	7.9	139	353	164	45.9	1.8	2120	8.0	18	104	26	72.3	0.00	2270	42.6	62.4	77.5	87.1	70.5	92.6	82.9	93.2	100
D-22/7/90	30019	4.50	7.6	175	416	224	51.8	4.5	1463	7.7	183	214	57.0	3.5	2120	7.7	105	274	104	62.9	0.8	2250	7.9	18	?	21	66.7	0.05	2610	42.6	51.4	77.1	82.9	?	89.7	?	90.6	98.9
D-23/7/90	27711	1.50	7.4	342	400	232	64.7	4.5	1858	7.6	259	284	60.6	6.0	1907	7.6	133	278	86	72.1	0.2	1835	7.6	23	106	38	76.8	0.02	1511	48.6	69.7	96.7	82.7	61.9	93.3	73.5	83.6	99.6
D-24/7/90	33999	1.50	7.5	191	488	506	35.6	6.3	2590	7.4	172	580	41.4	7.8	2530	7.6	102	267	84	71.4	0.2	2670	7.7	22	110	33	75.0	0.08	2850	40.7	85.5	97.4	78.4	58.8	88.5	77.5	93.5	98.8
D-25/7/90	33959	2.00	7.7	235	614	692	29.5	8.0	1589	7.7	242	716	31.8	9.5	1632	7.7	94	246	244	23.8	0.2	1588	7.9	16	90	52	29.2	0.00	1625	61.2	65.9	98.4	83.0	63.4	93.2	85.3	92.5	100
D-26/7/90	33290	1.00	7.7	128	392	236	59.3	3.2	2100	7.6	130	176	56.8	4.0	2200	7.7	118	272	88	59.1	0.2	2010	7.8	?	164	49	67.3	0.05	2070	9.2	50.0	95.0	?	39.7	?	58.2	79.2	98.4
D-27/7/90	33877	1.50	7.6	166	452	320	46.3	4.5	1160	7.7	221	388	47.4	5.5	1137	7.7	87	216	76	73.7	0.2	1147	7.8	19	56	28	75.0	0.10	1148	60.6	80.4	97.3	78.2	74.1	88.6	87.6	91.3	97.8
D-29/7/90	26871	2.00	7.3	139	369	284	49.3	4.0	991	7.5	161	312	44.9	4.0	986	7.3	87	198	90	62.2	0.1	978	7.5	19	116	34	72.9	0.02	1070	46.0	71.2	97.5	78.2	41.4	86.3	68.6	88.0	99.5
D-30/7/90	37634	2.00	8.1	151	?	268	47.8	3.5	1732	8.0	160	248	59.7	3.0	1803	8.0	85	?	84	69.0	0.2	1721	8.2	12	?	17	77.6	0.00	1643	46.9	66.1	93.3	85.9	?	92.1	?	93.7	100
D-31/7/90	32909	0.40	7.5	221	391	260	46.2	4.3	2140	7.5	173	244	52.5	4.5	2090	7.5	112	261	74	78.4	0.2	2000	7.6	17	127	20	78.0	0.00	1950	35.3	69.7	96.7	84.8	51.3	92.3	67.5	92.3	100
D-2/9/90	44601	1.70	7.5	140	231	360	?	4.0	806	7.5	146	328	?	3.5	811	7.5	79	145	64	?	0.2	834	7.6	12	39	11	?	0.02	905	45.9	80.5	94.3	84.8	73.1	91.4	83.1	96.9	99.5
D-3/9/90	43614	6.50	7.8	143	400	472	?	6.5	2230	7.8	95	226	?	4.0	2160	7.8	97	235	74	?	0.3	2170	7.8	14	82	12	?	0.02	1910	?	67.3	93.8	85.6	65.1	90.2	79.5	97.5	99.7
D-4/9/90	40529	4.50	7.7	192	253	186	?	5.0	1818	7.6	250	194	?	4.5	1745	7.5	108	197	80	?	0.3	1625	7.5	14	48	13	?	0.02	1726	56.8	58.8	94.4	87.0	75.6	92.7	81.0	93.0	99.6
D-5/9/90	38231	0.80	7.7	124	234	120	?	1.8	1550	7.9	123	220	?	4.0	1651	7.8	87	156	76	?	0.2	1586	7.9	18	84	74	?	0.20	1661	29.3	65.5	95.0	79.3	46.2	85.5	64.1	38.3	88.9
D-6/9/90	36909	1.30	7.6	172	394	226	51.3	5.5	1324	7.6	197	302	47.0	4.0	1306	7.7	119	257	92	65.2	0.2	1368	7.8	14	74	13	70.8	0.00	1418	39.6	69.5	96.3	88.2	71.2	91.9	81.2	94.2	100
D-7/9/90	37002	1.70	7.6	268	324	226	53.1	4.0	1390	7.6	265	236	53.4	4.5	1389	7.6	110	179	98	69.4	0.2	1352	7.7	13	97	15	69.3	0.02	1358	58.5	58.5	95.6	88.2	45.8	95.1	70.1	93.4	99.5
D-9/9/90	43377	6.50	7.6	176	200	176	50.0	3.0	859	7.6	149	172	51.2	2.0	860	7.6	90	178	76	65.8	0.2	926	7.7	13	45	18	68.9	0.02	1020	39.6	55.8	90.0	85.6	74.7	92.6	77.5	89.8	99.3
D-11/9/90	37862	5.00	7.6	146	243	164	57.3	3.2	1095	7.6	193	208	55.8	3.0	1089	7.6	68	165	86	76.7	0.3	1095	7.7	6	59	14	82.9	0.00	1095	64.8	58.7	91.7	91.2	64.2	95.9	75.7	91.5	100
D-12/9/90	35809	5.00	7.8	139	380	256	53.1	5.5	2040	7.8	201	340	47.6	8.5	2000	7.9	131	278	104	73.1	0.2	1950	7.9	11	51	8	57.5	0.02	1690	34.8	69.4	97.6	91.6	81.7	92.1	86.6	96.9	99.6
D-13/9/90	35729	2.50	7.9	205	529	264	61.4	6.5	2750	7.9	220	324	60.5	6.0	2850	7.8	111	325	90	73.3	0.3	2550	7.8	11	?	9	62.2	0.00	2500	49.5	72.2	95.0	90.1	?	94.6	?	96.6	100
D-14/9/90	41206	3.30	7.8	117	366	500	27.2	4.2	3230	7.8	135	620	32.3	7.0	3170	7.7	81	181	106	49.1	0.2	3690	7.8	12	67	12	75.0	0.00	3950	40.0	82.9	97.1	85.2	63.0	89.7	81.7	97.6	100
D-16/9/90	15519	3.60	7.6	148	400	564	31.6	7.0	1554	7.6	235	798	28.6	11.0	1515	7.6	49	151	120	48.3	0.4	1259	7.7	11	54	9	80.0	0.00	1267	79.1	85.0	96.8	77.6	64.2	92.6	86.5	98.4	100
D-17/9/90	49986	2.71	7.8	158	256	194	47.4	3.0	1831	7.8	218	240	46.7	4.0	1860	7.8	94	198	98	59.2	0.3	1862	7.7	10	66	9	75.6	0.00	1813	56.9	59.2	92.5	89.4	66.7	93.7	74.2	95.4	100
D-18/9/90	51575	2.42	7.7	123	246	186	39.8	2.5	1288	7.7	241	300	25.3	4.5	1328	7.7	101	202	86	37.2	0.2	1287	7.7	12	70	15	56.0	0.02	1317	58.1	71.3	95.6	88.1	65.3	90.2	71.5	91.9	99.2
D-19/9/90	44869	0.90	7.7	133	410	204	62.7	4.5	1490	7.7	161	256	57.8	4.5	1421	7.7	69	251	88	68.2	0.3	1386	7.7	8	144	11	80.0	0.02	1361	57.1	65.6	94.4	88.4	42.6	94.0	64.9	94.6	99.6
D-20/9/90	43491	1.00	7.5	237	388	178	57.3	4.0	1620	7.6	300	240	53.3	4.5	1571	7.7	113	243	84	69.0	0.2	1631	7.8	12	76	12	86.7	0.02	1590	62.3	65.0	95.6	89.4	68.7	94.9	80.4	93.3	99.5
D-21/9/90	45453	1.60	7.7	203	357	222	58.6	3.0	1828	7.6	215	208	73.1	5.0	1817	7.6	98	169	86	65.1	0.2	1890	7.6	9	73	13	?	0.00	1868	54.4	58.7	96.0	90.8	56.8	95.6	79.6	94.1	100
D-23/9/90	37190	1.14	7.8	199	380	244	55.7	5.0	1453	7.8	110	196	60.2	3.5	1430	7.8	104	204	116	72.4	1.5	1436	7.9	13	43	15	74.7	0.00	1458	5.5	40.8	57.1	87.5	78.9	93.5	88.7	93.9	100
D-24/9/90	40067	3.40	7.8	214	941	304	53.3	6.5	1454	7.8	396	320	57.5	7.0	1528	7.8	107	243	106	67.9	0.2	1456	7.9	11	55	14	74.3	0.02	1324	73.0	66.9	97.9	89.7	77.4	94.9	94.2	95.4	99.7
D-25/9/90	57606	5.35	7.7	208	298	260	37.7	4.0	1236	7.8	245	284	46.5	5.0	1285	7.8	90	220	124	48.4	0.3	1416	7.9	19	?	14	82.9	0.00	1611	63.3	56.3	94.0	78.9	?	90.9	?	94.6	100
D-26/9/90	46791	2.20	7.9	206	305	188	56.4	4.0	1200	7.9	?	272	50.0	6.0	1228	7.9	113	210	88	65.9	0.2	1237	7.9	14	55	10	92.0	0.00	1084	?	67.6	97.5	87.6	73.8	93.2	82.0	94.7	100
D-27/9/90	46852	?	7.7	247	361	286	51.0	4.5	1180	7.7	146	212	56.4	2.5	1251	7.7	135	248	134	52.2	0.6	1144	7.9	11	56	10	78.0	0.00	1222	7.5	36.8	76.0	91.9	77.4	95.5	84.5	96.5	100
D-28/9/90	38761	4.00	7.5	438	681	370	56.8	6.0	1396	7.6	212	348	64.4	6.0	1446	7.6	148	350	88	77.3	0.2	1356	7.6	15	120	11	70.9	0.00	1311	30.2	74.7	96.7	89.9	65.7	96.6	82.4	97.0	100
D-30/9/90	42046	1.95	7.8	255	282	166	67.5	2.0	950	7.8	284	172	65.1	2.0	965	7.8	164	259	112	76.8	0.5	971	7.9	13	56	20	80.0	0.02	1093	42.3	34.9	75.0	92.1	78.4	94.9	80.1	88.0	99.0
D-1/8/90	33322	0.40	7.6	217	315	400	59.0	3.5	2080	7.5	225	376	64.9	4.0	2090	7.4	131	215	67	77.6	0.1	2190	7.5	22	81	28	71.4	0.05	2170	41.8	82.2	97.5	83.2	62.3	89.9	74.3	93.0	98.6
D-2/8/90	10050	0.40	7.6	208	556	210	52.4	4.0	2340	7.5	244	148	66.2	2.5	2080	7.4	95	205	73	75.3	0.1	2070	7.6	18	75	34	71.8	0.00	2080	61.1	50.7	96.0	81.1	63.4	91.3	86.5	83.8	100
D-3/8/90	55930	1.20	7.8	223	459	364	45.6	5.5	2220	8.0	220	346	41.0	4.5	2300	7.9	85	199	63	74.6	0.1	2240	8.0	19	56	23	78.3	0.05	2350	61.4	81.8	97.8	77.6	71.9	91.5	87.8	93.7	99.1
D-5/8/90	52851	0.30	8.1	64	161	172	40.7	2.0	1350	8.0	59	146	45.2	1.1	1315	7.9	44	114	63	63.5	0.1	292	8.1	8	31	14	80.0	0.00	1400	25.4	56.8	90.9	81.8	72.8	87.5	80.7	91.9	100
D-6/8/90	40585	0.35	8.0	66	152	364	20.3	1.6	1403	8.1	86	412	19.9	2.5	1383	8.0	49	114	80	46.3	0.2	1407	8.0	11	24	12	76.7	0.00	1433	43.0	80.6	92.0	77.6	78.9	83.3	84.2	96.7	100
D-7/8/90	45027	2.50	7.7	48	156	242	25.6	1.4	1400	7.9	63	266	24.8	1.9	1403	7.8	37	112	84	47.6	0.2	1363	8.0	5	60	12	83.3	0.00	1407	41.3	68.4	89.5	86.5	46.4	89.6	61.5	95.0	100
D-8/8/90	47338	2.00	8.1	69	126	138	39.1	1.4	882	8.1	150	180	38.9	1.9	902	8.2	53	100	62	59.7	0.1	920	8.0	8	52	9	88.9	0.00	902	64.7	65.6	94.7	84.9	48.0	88.4	58.7	93.5	100
