tl	tm	tr	ml	mm	mr	bl	bm	br	y
x	o	o	b	x	o	x	x	o	n
x	o	o	b	o	x	x	o	x	n
x	o	o	b	o	x	o	x	x	n
x	o	b	x	o	x	o	o	x	n
x	o	b	x	o	x	b	o	b	n
x	o	b	x	o	b	b	o	x	n
x	o	b	o	o	x	x	o	x	n
x	o	b	b	o	x	x	o	b	n
x	o	b	b	o	x	b	o	x	n
x	o	b	b	o	b	x	o	x	n
x	b	x	x	x	o	o	o	o	n
x	b	x	x	o	x	o	o	o	n
x	b	x	x	b	b	o	o	o	n
x	b	x	o	x	x	o	o	o	n
x	b	x	o	o	o	x	x	o	n
x	b	x	o	o	o	x	o	x	n
x	b	x	o	o	o	x	b	b	n
x	b	x	o	o	o	o	x	x	n
x	b	x	o	o	o	b	x	b	n
x	b	x	o	o	o	b	b	x	n
x	b	x	b	x	b	o	o	o	n
x	b	x	b	b	x	o	o	o	n
x	b	o	x	x	o	o	x	o	n
x	b	o	x	x	o	b	b	o	n
x	b	o	x	o	x	o	x	o	n
x	b	o	x	o	x	o	o	x	n
x	b	o	x	o	x	o	b	b	n
x	b	o	x	o	o	o	x	x	n
x	b	o	x	o	b	o	x	b	n
x	b	o	x	o	b	o	b	x	n
x	b	o	x	b	o	b	x	o	n
x	b	o	o	x	o	x	x	o	n
x	b	o	o	o	x	o	x	x	n
x	b	o	b	x	o	x	b	o	n
x	b	o	b	x	o	b	x	o	n
x	b	o	b	o	x	o	x	b	n
x	b	o	b	o	x	o	b	x	n
x	b	o	b	o	b	o	x	x	n
x	b	o	b	b	o	x	x	o	n
x	b	b	x	x	b	o	o	o	n
x	b	b	x	b	x	o	o	o	n
x	b	b	o	o	o	x	x	b	n
x	b	b	o	o	o	x	b	x	n
x	b	b	o	o	o	b	x	x	n
x	b	b	b	x	x	o	o	o	n
o	x	x	x	x	b	o	o	o	n
o	x	x	x	o	x	o	b	o	n
o	x	x	x	o	x	b	o	o	n
o	x	x	x	o	o	x	b	o	n
o	x	x	x	o	o	b	x	o	n
o	x	x	x	o	b	x	o	o	n
o	x	x	x	o	b	o	x	o	n
o	x	x	x	o	b	b	b	o	n
o	x	x	x	b	x	o	o	o	n
o	x	x	o	x	x	o	o	b	n
o	x	x	o	x	x	o	b	o	n
o	x	x	o	x	o	o	b	x	n
o	x	x	o	x	b	o	o	x	n
o	x	x	o	x	b	o	b	b	n
o	x	x	o	o	x	x	b	o	n
o	x	x	o	o	x	o	x	b	n
o	x	x	o	o	x	b	x	o	n
o	x	x	o	o	o	x	x	b	n
o	x	x	o	o	o	x	b	x	n
o	x	x	o	o	o	b	x	x	n
o	x	x	o	o	b	x	x	o	n
o	x	x	o	o	b	o	x	x	n
o	x	x	o	b	x	o	x	o	n
o	x	x	o	b	x	o	b	b	n
o	x	x	o	b	o	o	x	x	n
o	x	x	o	b	b	o	x	b	n
o	x	x	o	b	b	o	b	x	n
o	x	x	b	x	x	o	o	o	n
o	x	x	b	o	x	x	o	o	n
o	x	x	b	o	x	o	x	o	n
o	x	x	b	o	x	b	b	o	n
o	x	x	b	o	o	x	x	o	n
o	x	x	b	o	b	x	b	o	n
o	x	x	b	o	b	b	x	o	n
o	x	o	x	x	o	x	b	o	n
o	x	o	x	o	x	x	b	o	n
o	x	o	x	o	x	o	x	b	n
o	x	o	x	o	x	o	b	x	n
o	x	o	x	o	x	b	x	o	n
o	x	o	x	o	b	x	x	o	n
o	x	o	x	o	b	o	x	x	n
o	x	o	x	b	o	x	x	o	n
o	x	o	o	x	x	o	b	x	n
o	x	o	o	b	x	o	x	x	n
o	x	o	b	o	x	x	x	o	n
o	x	o	b	o	x	o	x	x	n
o	x	b	x	o	x	x	o	o	n
o	x	b	x	o	x	o	x	o	n
o	x	b	x	o	x	b	b	o	n
o	x	b	x	o	o	x	x	o	n
o	x	b	x	o	b	x	b	o	n
o	x	b	x	o	b	b	x	o	n
o	x	b	o	x	x	o	o	x	n
o	x	b	o	x	x	o	b	b	n
o	x	b	o	x	b	o	b	x	n
o	x	b	o	o	x	x	x	o	n
o	x	b	o	o	x	o	x	x	n
o	x	b	o	b	x	o	x	b	n
o	x	b	o	b	x	o	b	x	n
o	x	b	o	b	b	o	x	x	n
o	x	b	b	o	x	x	b	o	n
o	x	b	b	o	x	b	x	o	n
o	x	b	b	o	b	x	x	o	n
o	o	x	x	o	x	x	o	b	n
o	o	x	x	o	x	x	b	o	n
o	o	x	x	o	x	b	x	o	n
o	o	x	x	o	b	x	x	o	n
o	o	x	x	o	b	x	o	x	n
o	o	x	o	x	x	o	x	b	n
o	o	x	o	x	b	o	x	x	n
o	o	x	b	o	x	x	x	o	n
o	o	o	x	x	o	x	x	b	n
o	o	o	x	x	o	x	b	x	n
o	o	o	x	x	o	b	x	x	n
o	o	o	x	x	b	x	x	o	n
o	o	o	x	x	b	x	o	x	n
o	o	o	x	x	b	x	b	b	n
o	o	o	x	x	b	o	x	x	n
o	o	o	x	x	b	b	x	b	n
o	o	o	x	x	b	b	b	x	n
o	o	o	x	o	x	x	x	b	n
o	o	o	x	o	x	x	b	x	n
o	o	o	x	o	x	b	x	x	n
o	o	o	x	b	x	x	x	o	n
o	o	o	x	b	x	x	o	x	n
o	o	o	x	b	x	x	b	b	n
o	o	o	x	b	x	o	x	x	n
o	o	o	x	b	x	b	x	b	n
o	o	o	x	b	x	b	b	x	n
o	o	o	x	b	b	x	x	b	n
o	o	o	x	b	b	x	b	x	n
o	o	o	x	b	b	b	x	x	n
o	o	o	o	x	x	x	x	b	n
o	o	o	o	x	x	x	b	x	n
o	o	o	o	x	x	b	x	x	n
o	o	o	b	x	x	x	x	o	n
o	o	o	b	x	x	x	o	x	n
o	o	o	b	x	x	x	b	b	n
o	o	o	b	x	x	o	x	x	n
o	o	o	b	x	x	b	x	b	n
o	o	o	b	x	x	b	b	x	n
o	o	o	b	x	b	x	x	b	n
o	o	o	b	x	b	x	b	x	n
o	o	o	b	x	b	b	x	x	n
o	o	o	b	b	x	x	x	b	n
o	o	o	b	b	x	x	b	x	n
o	o	o	b	b	x	b	x	x	n
o	o	b	x	o	x	x	x	o	n
o	o	b	x	o	x	x	o	x	n
o	o	b	o	x	x	o	x	x	n
o	b	x	x	o	x	x	o	o	n
o	b	x	x	o	x	o	x	o	n
o	b	x	x	o	x	b	b	o	n
o	b	x	x	o	o	x	x	o	n
o	b	x	x	o	b	x	b	o	n
o	b	x	x	o	b	b	x	o	n
o	b	x	o	x	x	o	x	o	n
o	b	x	o	x	x	o	b	b	n
o	b	x	o	x	o	o	x	x	n
o	b	x	o	x	b	o	x	b	n
o	b	x	o	x	b	o	b	x	n
o	b	x	o	o	x	x	x	o	n
o	b	x	o	b	x	o	x	b	n
o	b	x	o	b	b	o	x	x	n
o	b	x	b	o	x	x	b	o	n
o	b	x	b	o	x	b	x	o	n
o	b	x	b	o	b	x	x	o	n
o	b	o	x	x	o	x	x	o	n
o	b	o	x	o	x	x	x	o	n
o	b	o	x	o	x	o	x	x	n
o	b	o	o	x	x	o	x	x	n
o	b	b	x	o	x	x	b	o	n
o	b	b	x	o	x	b	x	o	n
o	b	b	x	o	b	x	x	o	n
o	b	b	o	x	x	o	x	b	n
o	b	b	o	x	x	o	b	x	n
o	b	b	o	x	b	o	x	x	n
o	b	b	o	b	x	o	x	x	n
o	b	b	b	o	x	x	x	o	n
b	x	x	x	x	o	o	o	o	n
b	x	x	x	o	x	o	o	o	n
b	x	x	x	b	b	o	o	o	n
b	x	x	o	x	x	o	o	o	n
b	x	x	o	o	o	x	x	o	n
b	x	x	o	o	o	x	o	x	n
b	x	x	o	o	o	x	b	b	n
b	x	x	o	o	o	o	x	x	n
b	x	x	o	o	o	b	x	b	n
b	x	x	o	o	o	b	b	x	n
b	x	x	b	x	b	o	o	o	n
b	x	x	b	b	x	o	o	o	n
b	x	o	x	x	o	x	o	o	n
b	x	o	x	x	o	b	b	o	n
b	x	o	x	o	x	o	x	o	n
b	x	o	x	o	x	o	o	x	n
b	x	o	x	o	x	o	b	b	n
b	x	o	x	o	o	x	x	o	n
b	x	o	x	o	o	o	x	x	n
b	x	o	x	o	b	o	x	b	n
b	x	o	x	o	b	o	b	x	n
b	x	o	x	b	o	x	b	o	n
b	x	o	x	b	o	b	x	o	n
b	x	o	o	o	x	o	x	x	n
b	x	o	b	x	o	x	b	o	n
b	x	o	b	o	x	o	x	b	n
b	x	o	b	o	x	o	b	x	n
b	x	o	b	o	b	o	x	x	n
b	x	o	b	b	o	x	x	o	n
b	x	b	x	x	b	o	o	o	n
b	x	b	x	b	x	o	o	o	n
b	x	b	o	o	o	x	x	b	n
b	x	b	o	o	o	x	b	x	n
b	x	b	o	o	o	b	x	x	n
b	x	b	b	x	x	o	o	o	n
b	o	x	x	o	x	x	o	o	n
b	o	x	x	o	x	b	o	b	n
b	o	x	x	o	o	x	o	x	n
b	o	x	x	o	b	x	o	b	n
b	o	x	x	o	b	b	o	x	n
b	o	x	b	o	x	x	o	b	n
b	o	x	b	o	b	x	o	x	n
b	o	o	x	x	o	x	x	o	n
b	o	o	x	o	x	x	o	x	n
b	o	o	x	o	x	o	x	x	n
b	o	b	x	o	x	x	o	b	n
b	o	b	x	o	x	b	o	x	n
b	o	b	x	o	b	x	o	x	n
b	o	b	b	o	x	x	o	x	n
b	b	x	x	x	b	o	o	o	n
b	b	x	x	b	x	o	o	o	n
b	b	x	o	o	o	x	x	b	n
b	b	x	o	o	o	x	b	x	n
b	b	x	o	o	o	b	x	x	n
b	b	x	b	x	x	o	o	o	n
b	b	o	x	x	o	x	b	o	n
b	b	o	x	x	o	b	x	o	n
b	b	o	x	o	x	o	x	b	n
b	b	o	x	o	x	o	b	x	n
b	b	o	x	o	b	o	x	x	n
b	b	o	x	b	o	x	x	o	n
b	b	o	b	x	o	x	x	o	n
b	b	o	b	o	x	o	x	x	n
x	x	o	o	x	x	x	o	o	n
x	x	o	o	o	x	x	x	o	n
x	x	o	o	o	x	x	o	x	n
x	o	x	x	x	o	o	x	o	n
x	o	x	x	o	x	o	x	o	n
x	o	x	x	o	o	o	x	x	n
x	o	x	o	x	x	o	x	o	n
x	o	x	o	o	x	x	x	o	n
x	o	o	o	x	x	x	x	o	n
o	x	x	x	x	o	o	o	x	n
o	x	x	x	o	o	x	o	x	n
o	x	x	x	o	o	o	x	x	n
o	x	o	x	x	o	x	o	x	n
o	x	o	x	o	x	x	o	x	n
o	x	o	o	x	x	x	o	x	n
o	o	x	x	x	o	o	x	x	n
