Sponge	A.CAPAS_DEL_CORTEX 	A.CAPA_INTERNA_DEL_CORTEX 	A.CORTEX 	A.CORTEX_FIBROSO 	A.CORTEX_SOLO_DE_ESPICULAS_TANGENCIALES 	A.CUERPOS_EXTRANOS_EN_EL_CORTEX 	A.GROSOR_DEL_CORTEX 	A.HACES_DE_ESPICULAS_PRINCIPALES_EN_POMPON_EN_EL_CORTEX 	A.TILOSTILOS_ADICIONALES_COANOSOMA	B.NUMERO_DE_TIPOS_DE_MEGASCLERAS 	C.TIPO_ESPICULA_PRINCIPAL_DIACTINA_TUBERCULADA 	C.TIPO_ESPICULA_PRINCIPAL_ESTILO 	C.TIPO_ESPICULA_PRINCIPAL_ESTILOS_2_TAMANOS 	C.TIPO_ESPICULA_PRINCIPAL_ESTILO_TILOSTILO 	C.TIPO_ESPICULA_PRINCIPAL_ESTRONGILOXA 	C.TIPO_ESPICULA_PRINCIPAL_OXAS 	C.TIPO_ESPICULA_PRINCIPAL_TILOSTILO 	D.ESPICULA_PRINCIPAL_ESTILO 	D.ESPICULA_PRINCIPAL_TILOSTILO 	D.FORMA_BASE_TILOSTILO_PRINCIPAL 	E.DISPOSICION_MEGASCLERAS_ECTOSOMICAS_EN_EL_ECTOSOMA 	E.FORMA_BASE_TILOSTILO_ECTOSOMICO 	E.FORMA_MEGASCLERA_ECTOSOMICA 	E.TIPO_MEGASCLERA_ECTOSOMICA 	F.TIPO_DE_EXOSTILO 	G.FORMA_MEGASCLERA_INTERMEDIARIA 	G.TIPO_MEGASCLERA_INTERMEDIARIA 	H.LONGITUD_MEGASCLERAS 	I.MICROSCLERAS 	I.TIPO_MICROSCLERA 	J.ASTER 	J.DIAMETRO_ESFERASTER 	J.TIPO_DE_ASTER 	J.TIPO_DE_DIPLASTER 	J.TIPO_DE_ESFERASTER 	K.FORMA_FINAL 	L.NUMERO_DE_PAPILAS 	L.PAPILAS 	M.COLOR 	N.SUPERFICIE 	O.DISPOSICION_ESPICULAR_ESQUELETO 	P.ALOJA_CANGREJO_ERMITANO 	P.PERFORANTE 	P.PSEUDORAICES 	P.SUSTRATO
POLYMASTIA_SPINULA	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	2	SI	INTERMEDIARIOS	3_TIPOS	NO	NO	NO	NO	SI	NO	NO	SIN_ESPICULA_PRINCIPAL_ESTILO	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	TILOSTILO	SIN_EXOSTILOS	FUSIFORME	TILOSTILO	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	2	SI	AMARILLO_PALIDO	ATERCIOPELADA	RADIAL	NO	NO	NO	DURO
POLYMASTIA_TENAX	2_CAPAS	PERPENDICULAR	SI	NO	NO	NO	4	NO	INTERMEDIARIOS_Y_ECTOSOMICOS	3_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_NO_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	FUSIFORME	TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	2	SI	OTROS	LISA	RADIAL	NO	NO	NO	DURO
POLYMASTIA_TISSIERI	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	2	NO	ECTOSOMICOS_DISPERSOS	3_TIPOS	NO	NO	NO	SI	NO	NO	NO	POLITILOTA	POLITILOTA	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	TILOSTILO	TILOSTILO_LISO	NORMAL	TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	HEMISFERICA	2	SI	OTROS	HISPIDEZ_MAYOR_HACIA_LA_BASE	RADIAL	NO	NO	NO	DURO
POLYMASTIA_UBERRIMA	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	4	NO	INTERMEDIARIOS_Y_ECTOSOMICOS	3_TIPOS	NO	NO	NO	NO	SI	NO	NO	SIN_ESPICULA_PRINCIPAL_ESTILO	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	TILOSTILO	SIN_EXOSTILOS	NORMAL	TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	3	SI	?	ATERCIOPELADA	RADIAL	NO	NO	NO	DURO
PROSUBERITES_EPIPHYTUM	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	0	NO	OTROS	LISA	HYMEDESMOIDE	NO	NO	NO	DURO
PROSUBERITES_LONGISPINA	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	0	NO	AMARILLO_PALIDO	TOTALMENTE_HISPIDA	HYMEDESMOIDE	NO	NO	NO	DURO
PROSUBERITES_RUGOSUS	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	0	NO	OTROS	LISA	HYMEDESMOIDE	NO	NO	NO	DURO
PROTELEIA_SOLLASI	3_CAPAS	TANGENCIAL_Y_PERPENDICULAR	SI	NO	NO	NO	3	NO	ECTOSOMICOS_DISPERSOS	3_TIPOS	NO	SI	NO	NO	NO	NO	NO	FUSIFORME	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	TILOSTILO	ANATRIENAS	FUSIFORME	TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	DE_REVESTIMIENTO	2	SI	?	SOLO_PAPILAS_LISAS	RADIAL	NO	NO	NO	DURO
PSEUDOSUBERITES_HYALINUS	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	TANGENCIALES	TRILOBULADA_CON_VESICULA_AXIAL	CURVADA	TILOSTILO	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MASIVO_IRREGULAR	0	NO	AMARILLO_PALIDO	LISA	CONFUSA	NO	NO	NO	DURO
PSEUDOSUBERITES_SULFUREUS	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	TANGENCIALES	TRILOBULADA_CON_VESICULA_AXIAL	CURVADA	TILOSTILO	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MASIVO_IRREGULAR	0	NO	AMARILLO_PALIDO	LISA	CONFUSA	NO	NO	NO	DURO
QUASILINA_BREVIS	3_CAPAS	BANDAS_DE_ESPICULAS_CRUZADAS	SI	NO	NO	NO	2	NO	ECTOSOMICOS_DISPERSOS	2_TIPOS	NO	NO	NO	SI	NO	NO	NO	FUSIFORME	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	ESTILO_TILOSTILO	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MAZAS_PEDUNCULADAS_1/PEDUNCULO	1	SI	?	ATERCIOPELADA	REDUCIDO	NO	NO	NO	DURO
QUASILINA_INTERMEDIA	1_CAPA	BANDAS_DE_ESPICULAS_CRUZADAS	SI	NO	NO	NO	2	NO	ECTOSOMICOS_EN_RAMILLETES	3_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	TILOSTILO	SIN_EXOSTILOS	NORMAL	TILOSTILO	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MAZAS_PEDUNCULADAS_1/PEDUNCULO	1	SI	OTROS	ATERCIOPELADA	REDUCIDO	NO	NO	NO	DURO
QUASILINA_RICHARDII	3_CAPAS	BANDAS_DE_ESPICULAS_CRUZADAS	SI	NO	NO	NO	2	NO	ECTOSOMICOS_DISPERSOS	2_TIPOS	NO	NO	NO	SI	NO	NO	NO	FUSIFORME	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	ESTILO_TILOSTILO	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MAZAS_PEDUNCULADAS_1/PEDUNCULO	1	SI	OTROS	ATERCIOPELADA	REDUCIDO	NO	NO	NO	DURO
RHIZAXINELLA_BISETA	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	2_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MAZAS_PEDUNCULADAS_1/PEDUNCULO	0	NO	AMARILLO_PALIDO	TOTALMENTE_HISPIDA	AXIAL	NO	NO	SI	DURO
RHIZAXINELLA_ELONGATA	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	2_TIPOS	NO	SI	SI	NO	NO	NO	SI	NORMAL	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MAZAS_PEDUNCULADAS_1/PEDUNCULO	0	NO	OTROS	TOTALMENTE_HISPIDA	AXIAL	NO	NO	SI	BLANDO
RHIZAXINELLA_PYRIFERA	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	2_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	SI	TRICODRAGMA	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MAZAS_PEDUNCULADAS_VARIAS/PEDUNCULO	0	NO	AMARILLO_PALIDO	RUGOSA	AXIAL	NO	NO	NO	AMBOS
RHIZAXINELLA_UNISETA	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MAZAS_PEDUNCULADAS_1/PEDUNCULO	0	NO	AMARILLO_PALIDO	TOTALMENTE_HISPIDA	AXIAL	NO	NO	SI	DURO
RIDLEYA_OVIFORMIS	3_CAPAS	TANGENCIAL	SI	NO	NO	NO	2	NO	SIN_TILOSTILOS_ADICIONALES	3_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	TILOSTILO	SIN_EXOSTILOS	FUSIFORME	TILOSTILO	1	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MAZAS_PEDUNCULADAS_1/PEDUNCULO	0	NO	?	ATERCIOPELADA	REDUCIDO	NO	NO	NO	DURO
SPHAEROTYLUS_ANTARCTICUS	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	3	NO	INTERMEDIARIOS	3_TIPOS	NO	NO	NO	SI	NO	NO	SI	NORMAL	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	TILOSTILO	ESFEROTILOS	NORMAL	TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	HEMISFERICA	2	SI	AMARILLO_PALIDO	SOLO_PAPILAS_LISAS	RADIAL	NO	NO	NO	DURO
SPHAEROTYLUS_CAPITATUS	2_CAPAS	TANGENCIAL	SI	NO	NO	NO	3	NO	INTERMEDIARIOS	3_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	POLITILOTA	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	CURVADA	TILOSTILO	ESFEROTILOS	NORMAL	TILOSTILO	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	GLOBULOSA	2	SI	AMARILLO_PALIDO	SOLO_PAPILAS_LISAS	RADIAL	NO	NO	NO	DURO
SPINULARIA_SPINULARIA	1_CAPA	SIN_CAPA_INTERNA_DEL_CORTEX	SI	NO	NO	NO	2	NO	SIN_TILOSTILOS_ADICIONALES	2_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	FUSIFORME	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	SI	TRICODRAGMA	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	GLOBULOSA	0	NO	OTROS	TOTALMENTE_HISPIDA	RADIAL	NO	NO	NO	DURO
SPIRASTRELLA_CUNCTATRIX	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	SI	ASTER	SI	SIN_ESFERASTER	ESPIRASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	0	NO	OTROS	RUGOSA	CONFUSA	NO	NO	NO	DURO
SPIRASTRELLA_MINAX	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	SIN_MEGASCLERAS_ECTOSOMICAS	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	2	SI	ASTER	SI	SIN_ESFERASTER	ESPIRASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	0	NO	OTROS	RUGOSA	CONFUSA	NO	NO	NO	DURO
STYLOCORDYLA_BOREALIS	1_CAPA	SIN_CAPA_INTERNA_DEL_CORTEX	SI	NO	NO	NO	1	NO	SIN_TILOSTILOS_ADICIONALES	3_TIPOS	NO	NO	NO	NO	NO	SI	NO	SIN_ESPICULA_PRINCIPAL_ESTILO	SIN_ESPICULA_PRINCIPAL_TILOSTILO_	SIN_TILOSTILOS	RAMILLETES	SIN_TILOSTILO_ECTOSOMICO	RECTA_FUSIFORME	OXAS_ESTRONGILOXAS	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	SI	MICROESTILOS_Y_MICROXAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MAZAS_PEDUNCULADAS_1/PEDUNCULO	0	NO	?	LISA	RADIAL	NO	NO	SI	DURO
SUBERITES_CAMINATUS	1_CAPA	SIN_CAPA_INTERNA_DEL_CORTEX	SI	NO	NO	NO	3	NO	SIN_TILOSTILOS_ADICIONALES	2_TIPOS	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SUBESFERICA_ALARGADA_OVOIDE	RECTA_FUSIFORME	TILOSTILO	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	3	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	HEMISFERICA	2	SI	OTROS	LISA	RADIAL_EN_PERIFERIA	NO	NO	NO	DURO
SUBERITES_CARNOSUS_V.INCRUSTANS	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	TRILOBULADA	EMPALIZADA	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	INCRUSTANTE	0	NO	AMARILLO_PALIDO	ATERCIOPELADA	RADIAL_EN_PERIFERIA	NO	NO	NO	DURO
SUBERITES_CARNOSUS_V.RAMOSUS	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	TRILOBULADA	EMPALIZADA	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	RAMIFICADA	0	NO	AMARILLO_PALIDO	ATERCIOPELADA	AXIAL	NO	NO	NO	DURO
SUBERITES_CARNOSUS_V.TYPICUS	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	1_TIPO	NO	NO	NO	NO	NO	NO	SI	SIN_ESPICULA_PRINCIPAL_ESTILO	NORMAL	TRILOBULADA	EMPALIZADA	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	2	NO	SIN_MICROSCLERAS	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	MAZAS_PEDUNCULADAS_1/PEDUNCULO	0	NO	AMARILLO_PALIDO	ATERCIOPELADA	RADIAL_EN_PERIFERIA	NO	NO	NO	DURO
SUBERITES_DOMUNCULA	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	3_TIPOS	NO	SI	NO	NO	NO	SI	SI	NORMAL	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	SI	MICROESTRONGILOS_CENTROTILOTES	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	GLOBULOSA	0	NO	OTROS	LISA	RADIAL_EN_PERIFERIA	SI	NO	NO	AMBOS
SUBERITES_FICUS	SIN_CORTEX	SIN_CAPA_INTERNA_DEL_CORTEX	NO	SIN_CORTEX	SIN_CORTEX	SIN_CORTEX	0	NO	SIN_TILOSTILOS_ADICIONALES	3_TIPOS	NO	SI	NO	NO	NO	SI	SI	NORMAL	NORMAL	SUBESFERICA_ALARGADA_OVOIDE	EMPALIZADA	SIN_TILOSTILO_ECTOSOMICO	SIN_MEGASCLERA_ECTOSOMICA	SIN_MEGASCLERA_ECTOSOMICA	SIN_EXOSTILOS	SIN_MEGASCLERA_INTERMEDIARIA	SIN_MEGASCLERA_INTERMEDIARIA	1	SI	MICROESTRONGILOS_CENTROTILOTES	NO	SIN_ESFERASTER	SIN_ASTER	SIN_DIPLASTERES	SIN_ESFERASTER	GLOBULOSA	0	NO	OTROS	RUGOSA	RADIAL_EN_PERIFERIA	SI	NO	NO	AMBOS
